object_name,object_type,logical_domain,classification,write_owner,read_consumers,replacement_target,migration_action,confidence,notes
analysis_cohorts,table,analysis,DERIVED_KEEP,Database.tools.analysis_ingest,reports;paper exports;future web summary,n/a,keep,high,Derived research cohort registry
analysis_cohort_runs,table,analysis,DERIVED_KEEP,Database.tools.analysis_ingest,reports;paper exports;future web summary,n/a,keep,high,Links cohort membership to dynamic runs
analysis_derivation_receipts,table,analysis,DERIVED_KEEP,Database.tools.analysis_ingest,reports;ops audit,n/a,keep,high,Provenance ledger for derived analysis
analysis_dynamic_cohort_status,table,analysis,DERIVED_KEEP,UNASSIGNED_PROPOSED,research views;future web summary,n/a,assign_owner_and_populator,high,Schema exists but live table is empty
analysis_ml_app_phase_model_metrics,table,analysis,DERIVED_KEEP,Database.tools.analysis_ingest,reports;paper exports;narrative QA,n/a,keep,high,Derived model summary layer
analysis_risk_regime_summary,table,analysis,DERIVED_KEEP,Database.tools.analysis_ingest,reports;v_web_runtime_run_index;future web summary,n/a,keep,high,Current dynamic/static regime bridge
analysis_signature_deltas,table,analysis,DERIVED_KEEP,Database.tools.analysis_ingest,reports;paper exports,n/a,keep,high,Derived delta summaries
analysis_static_exposure,table,analysis,DERIVED_KEEP,Database.tools.analysis_ingest,reports;future web summary,n/a,keep,high,Derived static posture summaries
android_apk_repository,table,identity,CORE_KEEP,DeviceAnalysis.harvest,cli;web views;reports,n/a,keep,high,Canonical harvested APK identity
android_app_categories,table,reference,REFERENCE_KEEP,DeviceAnalysis.harvest;admin tools,cli;web;reports,n/a,keep,high,App category lookup
android_app_profiles,table,reference,REFERENCE_KEEP,reference seed/admin tools,cli;web;reports,n/a,keep,high,Profile lookup and display metadata
android_app_publishers,table,reference,REFERENCE_KEEP,reference seed/admin tools,cli;web;reports,n/a,keep,high,Publisher lookup
android_permission_dict_aosp,table,reference,REFERENCE_KEEP,permission dictionary tooling,cli;governance tooling;reports,android_permission_intel.android_permission_dict_aosp,copy_to_permission_intel_then_redirect_reads,high,Shared permission-intel candidate for framework permission reference
android_permission_dict_oem,table,reference,REFERENCE_KEEP,permission dictionary tooling,cli;governance tooling;reports,android_permission_intel.android_permission_dict_oem,copy_to_permission_intel_then_redirect_reads,high,Shared permission-intel candidate for OEM permission reference
android_permission_dict_queue,table,reference,REFERENCE_KEEP,permission dictionary tooling,governance triage,android_permission_intel.android_permission_dict_unknown,copy_to_permission_intel_then_redirect_reads,medium,Shared permission-intel candidate for unknown-permission triage queue
android_permission_dict_unknown,table,reference,REFERENCE_KEEP,permission dictionary tooling,governance triage;reports,android_permission_intel.android_permission_dict_unknown,copy_to_permission_intel_then_redirect_reads,high,Shared permission-intel candidate for observed unknown permission ledger
android_permission_meta_oem_prefix,table,reference,REFERENCE_KEEP,permission dictionary tooling,governance tooling,android_permission_intel.android_permission_meta_oem_prefix,copy_to_permission_intel_then_redirect_reads,high,Shared permission-intel candidate for OEM namespace prefix metadata
android_permission_meta_oem_vendor,table,reference,REFERENCE_KEEP,permission dictionary tooling,governance tooling,android_permission_intel.android_permission_meta_oem_vendor,copy_to_permission_intel_then_redirect_reads,high,Shared permission-intel candidate for OEM vendor metadata
android_publisher_prefix_rules,table,reference,REFERENCE_KEEP,reference seed/admin tools,harvest;identity enrichment,n/a,keep,high,Publisher classification rules
apk_split_groups,table,identity,CORE_KEEP,DeviceAnalysis.harvest,harvest;web apk views,n/a,keep,high,Canonical split APK grouping support validated by live harvest rows
apps,table,identity,CORE_KEEP,DeviceAnalysis.harvest;StaticAnalysis.ensure_app_version,cli;web;reports,n/a,keep,high,Canonical package identity
app_display_aliases,table,identity,CORE_REVIEW,Database.tools.analysis_ingest;app label tooling,reports;paper exports,apps.display_name,keep_and_document,medium,Context specific label overrides
app_display_orderings,table,identity,CORE_REVIEW,Database.tools.analysis_ingest;app ordering tooling,reports;paper exports,n/a,keep_and_document,medium,Ordering metadata not core runtime identity
